Case NumberClient FeedbackResolution CommentsAnalysis CommentsCATEGORIES_8_57
04/11/2017-3433044Client escalated, because she was requesting a new debit card with her new name. It was supposed to have already been sent to her, but the card she received still had her old name. Transferring teammate was unable to KBA the client.I KBA'd the client successfully, and I updated the name on the card. I then expedited the replacement at no cost via LRR 7190006.  ***Prior comments from originating case***:  **********************************************************  No folder in R Drive04/24/17 - No ack needed-Resolved @ POC  jr  Confirmed LRR was processed- jr57
04/11/2017-3433114March 19. 2017  SunTrust Bank  SPOKANE TOWER CORPORATION  13700 Sutton Park Drive North, Unit 812  Jacksonville, FL 32224  P. 0. Box 305183  Nashville, TN 3 7230-5183  RE: Account 1000194819362  Accounts ending 1202 and 3 782  Gentlemen:  1. According to my records I opened an account for the Spokane Tower  Corporation was opened on 6-27-2016 with a deposit of $5,000.00. No account  statement was sent. Please send a copy of the 6-30-2016 monthly statement.  2. On 7-2-2016 the sum of$300 was credited to the account as a reward for  opening the account. Please send a copy of the 7-31-2016 monthly statement.  3. On 8-4-2016 an over the counter withdrawal of$5,300 was made. Please  send a copy of the over the counter withdrawal.  4. On 8-15-2016 I caused the sum of $124,793.14 to be was wired to  SunTrust Bank in my capacity as attorney in fact relating to the sale of property in  Spokane Washington. Upon receipt of the funds instead of contacting the  undersigned, Sun Trust Bank deducted a $15.00 wire fee and then deposited the  funds into a personal money market account. That is and was a mistake. The funds  should have been deposited into a money market account for the Spokane Tower  corporation.  5. The sum of $30.76 was deposited to the personal money market account  on 8-29-2016.  6. I understand that $195 .09 was deposited to the aforesaid personal money  market account as earned interest. In addition I made a $10,000 withdrawal which  was paid to one of the owners of the property sold. As of 9/28 the balance shows as  $114,905.23.  7. While I have a copy of the Spokane Tower Corporation Statement ending  in 1202 dated 8-31-2016, and the Spokane Tower Corporation ending in 3782 for  the period ending 11-30-2016 which shows the account closed on 11-2-2016 please  shown where the deposit of$79,843.0l made on 11-1-2016 came from and the  authority for the deposit and closing of the account.  8. Please also clarify why if Spokane tower Corporation received the  $300 reward for opening a business account and depositing $5,000.00 into the  account, why it did not receive for tax purposes ad why the bank denied such  payment.  9. Please send me a copy of all statements and communications from  SunTrust relating to the Spokane Tower Corporation.  Any information that you can sent that will help clarify each and every transaction  relating to the Spokane Tower Corporation will be appreciated. Please also cancel  the tax statement for interest earned and paid to me and re-issue it to the Spokane  Tower corporation.  Finally please advise whether Sun Trust will agree to arrange a meeting with an  officer empowered to resolve all outstanding issues with Sun Trust Bank for all  accounts.  I await your reply.  President**Duplicate to case 11/15/2016-3130558**     (Resolution comments form duplicate) 12/15/16 - Explained to the cleint that he completed & signed an Account Signature Card document for all of the referenced accounts. Upon completing these documents, you gave SunTrust the authorization to open the accounts. Explained to the client that $6,000 was deposited into Total Business Banking Accounts ending in 3617 and 3625, and $7,260 was deposited into account ending in 3633. Deposit tickets associated with each of these accounts were completed for each transaction & deposit receipts were provided confirming the transactions. All the referenced accounts are closed. In accordance with our Rules and Regulations for Deposit Accounts, we may, at any time in our discretion, close an account for any reason without advance notice to the depositor. In addition, the disbursement of funds were handled appropriately prior to the accounts closings. The referenced accounts were enrolled & determined to be either eligible and/or ineligible for the promotional reward based on the following:     - Ariel Zara Hochstadt Signature Advantage Checking Account ending in 4623 was enrolled in the Q416CHKNG123BR but was ineligible because the promotional requirements (a cumulative Direct Deposit of $500 or more within 60 days and10 days of debit card transactions within 60 days of the account opening) were not met.     - Terez K. Hochstadt Signature Advantage Checking Account ending in 4615 was enrolled in Q416CHKNG123BR but was ineligible due to the account closing prior to qualification or processing of the reward.     - The Palm Hotel Group, Inc. Total Business Banking Account ending in 3617 was enrolled in SB16Q1PERSONAL and was eligible for the reward. $300 was credited to the account on March 17, 2016.     - Sarasota Vacations, Inc. Total Business Banking Account ending in 2184 was enrolled in SB16Q1PERSONAL and was eligible for the reward. $300 was credited to the account on April 14, 2016 and $300 on April 21, 2016 in error which was reversed on May 19, 2016.     - Seniors America, Inc. Total Business Banking Account ending in 3567 was enrolled in SB16Q1PERSONAL and was eligible for the reward. $300 was credited to the account on April 14, 2016.     - Spokane Tower Corporation Total Business Banking Account ending in 1202 was enrolled in SB16Q2PERSONAL and was eligible for the reward. $300 was credited to the account on July 21, 2016.     4/24/17 - Due to excessive complaints, Legal recommend sending a response to the client that we have responded to all issues previously raised & will not be responding further to the same complaints.(CH) 4/13/17-This case is related to The Palm Hotel Cases/A. M. Hochstadt cases. I notified case manager of this case. Moving Ack to N/A,8
04/11/2017-3433272Teammate Interaction Challenges || Client did not understand a letter received from the bank in reference to a credit card not being activated, and that they never received a credit card in the mail, and they also confirmed they did not apply for a credit card, and did not want a credit card.Communicated Decisions / Option(s) || confirmed with client to close credit card.  **************************************************  No folder in R drive4/18/17 No ack required, resolved @ POC.     Case submitted at branch level, no complaint call to review for case accuracy.   5523932001209098 opened 3/10/16 and was closed status C. Caseworker changed to status U to remove credit inquiry and delete tradeline.  Caseworker did not ask for high school due to case was resolved at POC.  No record in acaps, task Jackie B for application information.    4/20/17 Task completed, acaps 20160701054421, loan keyed by UFCG144 Christina Gonzalez. Teammate no longer with ST: not located in Outlook, Workday, or Global.    Admin follow up : please ensure trade line is deleted and credit inquiry is removed.8
04/11/2017-3433286Date: 03/28/2017  Name Torkaman Tamadonigamchi  Address: 3814 Lyndhurst Dr #203 Fairfax VA 22031  Creditor: SUNTRUST Dealer Finance Setvice  )  Creditor Address: 7818 E. Parham Road, Dealer Division Richmond, VA, 23294  Re: Unauthorized Credit Inquiry  Dear Creditor,  I recently received a copy of my Experian credit report. The credit report showed a credit inquiry  by your company that I do not recall authorizing. I understand that you shouldn't be allowed to  put an inquiry on my file unless I have authorized it. Please have this inquiry removed from my  credit file because it is making it very difficult for me to acquire credit.  I have sent this letter certified mail because I need your prompt response to this issue  Thanking you in advance,  Signature ~,  Printed Name: Torkaman Tamadonigamchi  SS# 148-35-1115We have reviewed your correspondence regarding a SunTrust Bank inquiry showing on your Equifax credit report for February 2017. Thank you for the opportunity to respond.    SunTrust received your application for credit from Chevrolet Of Dover on February 13, 2017. When SunTrust receives an application for credit, we are required to process the application, whether it was received directly from you or from the dealership through which you are attempting to purchase and finance an automobile. The dealer may submit the application to several financial institutions to determine the most competitive rate.     Chevrolet of Dover is an approved SunTrust dealership, and applications we receive from them are submitted with your authorization in accordance with the terms of their contract with SunTrust. You provided consent to the dealer and to potential lenders selected by the dealer either orally or on a signed loan application. SunTrust is authorized to process the application and to obtain your credit report. For this reason, we respectfully decline your request to remove the inquiry from your credit report.    For your records, enclosed is a copy of our letter dated February 18, 2017 regarding the outcome of the application.     Mr.  Tamadonigamchi, I hope this information is helpful. If you have any other questions, please contact Chevrolet of Dover directly.4/13 sent task to Jackie  4/20 letter sent to draft8
04/12/2017-3435187Documentation Challenges || client came into Harps Mill branch holding a statement saying he had a closed account, client panic thinking we had closed his savings account without permission, after doing research it was not his usual savings account ending in 2020 but an additional account that the client claims he never opened or authorized anyone to open.Unresolved - Complaint Escalation Needed;Provided Status and/or Next Steps || I have explained that the account ending 2771 is closed but didn't provide info on who opened account as I couldn't really tell by my research , I explained that I had to filed complaint and someone will be calling him.  ******************************************************************************    Spoke to client and apologized for the error. Let him know we take these things serious and all parties have been made aware. Let him know account is closed and no other items will be sent to him.4/14/2017 1:18 PM (919) 614-6524 Acknowledgement call # I spoke to the client and left voice mail. Client said this happened at the Falls of the Neuse Kroger office. Either someone before or after him was the one that needed an account but an account got inadvertently opened for him. He does not understand how this could happen, and this alarmed him when he got the mail from us about his account being closed. He was concerned with where his money went. The branch said they took care of it. Please research and follow up. # HMD    4/17 - 11:44am client left me a VM.. Returned the call.. no answer left VM.    4/17 - Sent email to branch tm who opened the account as well as their boss for feedback.  Feedback received: Yes, when I was opening an account for another client on 3/22 I had Mr. Hicks pulled up as he had just came in and I was doing research on his accounts. I had him still pulled up and opened an account in his name by error. I immediately closed it and called the helpline and they closed it out completely. I tried calling Mr.  Hicks to explain and his voicemail was full. (attached email to the case)     4/18 11:10am client called me, I advised him I am still researching and will follow up him once I get more info.    4/20 11:19am spoke to client and explained what happened at the branch and apologized.     4/20 - Opt - In for CE8
04/12/2017-3435298March 24, 2017    James Monde  6851 Cypress Cove Cir  Jupiter, FL 33458        Dear SUNTRUST BANK  I'm mailing you this letter anticipating that your company will help out. As a customer of   longstanding,I have paid this obligation in an excellent manner. Even so, over this span I managed   to accrue a couple of negative credit items forwarded to my credit file.  Before long I look   forward to seek a loan, accordingly I am very scared that your minor late notations will cause me   financial trouble. Please consider removing the negative reports. I am indebted to SUNTRUST BANK   for all you will do to help my situation.  Sincerely,  James Monde    6851 Cypress Cove Cir  Jupiter, FL 33458This letter is in response to your inquiry regarding SunTrust#s reporting of the account referenced above on your Experian, TransUnion, and Equifax credit files. Thank you for notifying us of your concerns and providing us the opportunity to respond.    Our records show we have reported your above mentioned account accurately to the credit bureaus. For this reason, we regret that we are unable to comply with your request to remove the reporting.    If you have any documentation or written correspondence that you believe would provide evidence that current reporting is inaccurate, please forward it to me at our address or fax number noted above. We will be glad to review any additional documentation you send us regarding this issue.    You also requested we take into consideration your request to approve a future application for credit with us. When we receive an application for credit, established guidelines are followed in reviewing the application information and determining the approval or decline of credit. These guidelines are designed to provide fair and equal treatment to all applicants. Credit decisions are based on information such as income, current expenses, outstanding debts, and previous credit history, among others. We are not able to make exception to these guidelines to guarantee any approval prior to application for credit.    Mr. Monde, I understand this is not the resolution you are seeking from SunTrust. Should you have any questions, please contact our Credit Bureau Disputes Department at 877.596.5407. A representative will be glad to assist you.4/12/17 - no ackn required - sending letter explaining credit reporting policy and declining to remove the late reporting. -PEB    4/12/17 - review of account - client has 5X30 past due payments, no payment disputes - 3 prior credit bureau disputes opened and denied - there are no notes on systems showing payment dispute due to bank error. Client admits to late payments in his complaint letter. -PEB    4/24/17 - email to CAST to confirm credit reporting. Need info for response letter. -PEB    4/26/17 - letter approved, mailed.    4/25/2017 - CAST confirmed no late reporting in the past 12 months.  -PEB    4/25/2017 - opened task for letter approval. -PEB57
04/12/2017-3435381Please open a case and assign to Kara. Details are below in yellow.    This was a prequalification, so should be a MERT case - it came through with a deposit account # and the feedback was very vague, so workflow determined to be CARRT.      This case was re-assigned to CCAMO from the original MERT case 3414063. I don't believe this is actually a CCAMO compliant.  The submitter cited the complaint against  TM Jason Moss who is a Mortgage Loan Consultant and his manager is Cheryl Taylor and her title is Mtg Sales Mgr-Non Producing. What should we do with this?\NLO: Jason N Moss     **Old case complaint: Teammate Interaction Challenges || Client felt teammate didn't respond quickly enough and was rude and inconsiderate telling client that "you have to do what you have to do."  Case 3414084    4/12/17-uvkc77- made 24 hr call; left msg; closed contact milestone    4/12/17- uvkc77- client called back; stated that the LO was nice at first and their communication was mainly through text messaging. After awhile the LO stop responding; client requested new LO at branch and never heard back. After client called LO and left voicemail and mentioned going to BBB; LO called right back but with an attitude and told him STM didnt have the system capability for the product he was requesting. Cleint was upset that he did not communicate this prior as the LO knew he was on a timeline; client stated he would take his business elsewhere in which the LO replied "you have to do what you have to do". Client did speak with LO's mgr, Cheryl and she apologized and said she would coach him on his behavior.  He stated at this point he has been pre-qualified with another lender for the TN housing product and is in process of being pre-approved but was not declining STM offer if we are still available to do it. I advised i'll look into this and get back w/him and apologized for the LO's lack of communication and customer service.    4/12/17- uvkc77- sent email to LO mgr, Cheryl Taylor and her mgr, Brian Bills - for more info on this product and if we can assist  client or not    4/14/17- 4:40pm - uvkc77- called client to go over resolution; someone picked up but no one would respond. Will attempt to call again on Monday and also send case to QA on Monday     4/18/17- 10:17am - uvkc77 - called client to go over resolution (that we do not offer this product now for sure and we most likely will in a few weeks but don't have a specific time yet) he did not answer; left msg. i advised in msg we are closing case - no further calls will be needed     4/18/17-  11:33am - uvkc77- spoke w/client; discussed resolution; client is satisfied - no more calls needed   _______________________________________      RESPONSES from Cheryl Taylor on 4/12/17 - "Yes I spoke with him at great length.  We are not able to provide the THDA 15k product he wants due to system constraints and I explained that to him.  So if he still wants that product, we don#t have it at this time.  He was not willing to wait.  Please let me know what other information you need. "    "It#s called HHF-DPA (Hardest Hit Fund- Down Payment Assistance through THDA #Tennessee Housing Development Agency).  Our IT department is in the process of updating out system.  Updates usually take about 90 days.  I am unsure of how far along they are but we are hopeful that it won#t take much longer.  Given his troubles with us already, I really don#t want to even take his loan in without this being totally installed first.  I did tell him that as well.  I also offered that if had issues with the other lender to call me personally and I would try to help or possibly be ready with this programming.  "    RESPONSE from Brian Bills SVP on 4/12/17:  "We are actively working with STM CRA group to improve our systems to off this program, and it should be available in the next several weeks but we cannot get an exact date at this time."57
04/12/2017-3435816Client is demanding for us to forward him a letter showing the CD is closed, and that he is not on any of his mother's accounts. He states that the Social Security Administration is requiring documentation, otherwise he may have to report to them.I advised the client that we may be able to send him a letter to confirm the closure of the account, however we cannot send him any notification detailing his mother's accounts. He then requested to speak with my supervisor. Transferred to Tia for further assistance.    ugcs248 4/12/17 12:48pm- cl requested a letter stating that he is not on his mother's accounts and a letter stating that their joint cd is now closed. advised cl that we cannot provide him a letter regarding his mother's account info. advised that we can send him a copy of his statements that show only his name. cl states that he needs the info within 15 days. offered to mail statements or he can pick up copy at a local branch. cl will visit local branch for faster access to the info he needs.  ***Prior comments from originating case***:  **********************************************************  no folder in r drive4/25 - no ack required-resolved at poc  LY57
04/12/2017-3435933Fees, F/C, or other Monetary Impacts (Non-Bank Error) || Client calling to inform that dealership paid off the wrong loan. Client has 2 Hyundai Elantras and client traded in vehicle of Loan 65600006565055545. However Payoff was made on 65600006565054472.Unresolved - Complaint Escalation Needed;Engaged Manager or Other Support Group || At time of call, no contact has been made by dealership. Lien release is in process and expected to be completed by 4/17/17  *************************************************************************    I advised client description for collateral on open loan corrected, confirmed refund for over payment on closed loan sent, apologized for inconvenience.4/13/17 - email to CLS.ERM - need help correcting error.   4.13.17- Ackn call made to 512-388-2738, provided POC info- SS    4/20/17 - response from CLS.ERM on 4/18: All the paperwork we received from the dealership with the payoff check indicates that the check was supposed to be applied to acct ending in 4472.  All the paperwork also had the same VIN as the 4472 acct.  If this was a dealer error, then we need them to send us a letter stating that their error and that the check should have been applied to acct ending in 5545.  I am going to try and stop the lien release on 4472 until we get this resolved.  The paperwork we received is attached. - PEB    4/20/17 - 15:25 EST - called 512-388-2738 - spoke with client - conference call to the Dealership RoundRock Hundai   512-904-6423 - Angela Thompson - called main dealership # 512-904-6400 and spoke with Mr. Albrooks - determined STB set up the loans incorrectly. - PEB    4/20/17 - email from CLS.ERM requesting status update - sent response - copied GP-- PEB    4/24/17 - response from CLS.ERM - refusing to correct CLP with description of collateral.  Email to CRF Dept for assistance.- PEB    4/25/17 - CRF dept not able to correct CLP - - PEB    4/25/17 - 16:45 EST -called 512-388-2738 - spoke with client, advised he will receive check, advised need more time to correct description of vehicles.- PEB    4/25/17 - opened LRR 7216910 to correct vehicle description.- PEB    4/25/17 - opened task to extend SLA- PEB    4/27/17 - received confirmation LRR 7216910 completed, reviewed open loan on account, collateral information is now correct. Unable to change information on closed loan, however, it was verified with dealership that the coupe was traded in (loan ending in 4472) and the vin/title/ etc. matches.- PEB57
04/12/2017-3435974Challenging Resolution Process || Client opened SEP-IRA for employee in April last year.  Employee closed his Money market IRA account in January. The client contacted our branch on 3/30/17 but did not speak with anyone until Tuesday, 4/4.  Branch help said that the account could remain open as the status showed open on the system, however, we can not open any new.Communicated Decisions / Option(s) || Informed client that we cannot reopen or open any new  ******************************  No folder in R Drive04/25/17 - No ack needed-Resolved @ POC  jr57
04/12/2017-3436076What happened  Product:  Mortgage: Conventional adjustable mortgage (ARM)  Issue:  Application, originator, mortgage broker  Describe what happened:  Applying for a mortgage at suntrust bank, I met with Jim Litle my loan officer. The plan was to convert my home equity line into a mortgage 7/1 with a fixed rate. The application process started 12/2016, was able to lock in a rate 1/ 2017, for 3.7%. with $10,000 cash out. Projected closing date 2/2017. Met with Jim Litle, on several occasions going over paper work, noticing my cash out each time was less, mentioning everytime why?? Answered by the time you close you would of paided down your loan so everything will work out. Having put my faith in Jim Litle, never questioned more. Dateds where made for closing ,but canceled twice and rescheduled. But the day of closing, my cash out was $4000 less, than expected..He said those were back taxes, since we didn't close the loan within a certain time. Which he postponed the closing twice, and mentioned he had to pay for the lock-in rate, which really shouldn't have been told to a customer. After the closing, my equity line payment for March was taken out of my account. I thought the loan was already paid off..since I add a closing , so what happened there? So when I called Jim Litle, to inquire why money was taken out of my account without my authoriztion , he said it must of crossed over, I questioned and said it should of been closed on the closing day..So funds would not be taken out of my account without my authorization, since the loan was paid off.. Jim Litle said it is my respondibility to notify the equity line to stop payment. But again I was not informed of this valid information, that would of prevented this to happen.. When trying to speak with Jim Litle, to review why this all happened he just angry and hung up the phone, Just didnt want to talk to customer after the fact..Very PROFESSIONAL!!! I was told I would get my funds returned in 5 buisness days that was on 3/27/2017, and still waiting.. and also waiting for my HUD statement which was not given to me on my closing day.. After inquiring on the delay of my funds, the check was cut on 4/12/2017, for the amount of $748.00, less $100.00.. again mis-informed.... My Overall experience for this Mortgage very dissatisfied, deceptive information. I would never recommend Suntrust, this company is not very LOYAL / TRUSTWORTHY to their customers.  This is about:  Conventional adjustable mortgage (ARM)  Attachment    Desired resolution  Desired resolution:  Would like to speak with a Supervisor representive,to discuss what happen.      Consumer Information  First name:  Constance  Last name:  Beauchemin  Email Address:  rncb05@yahoo.com  Street:  613 anhinga road  City:  winter springs  State:  FL  ZIP Code:  32708  Country:  United States    On behalf of myself:  Yes  On behalf of someone else:  No    Complainant is a service member:  No  Complainant is a dependent of a service member:  No        Product information  Name on account:  Constance Beauchemin  Company name:  SunTrust Mortgage Inc      Case Details  Case number:  170411-002498  Company status:  Sent to company  Sent to company:  04/12/2017 15:53  Respond by:  04/27/2017\N4/13/17 uvsb177 sent email to the production team to advise.  Good morning Sabrina. I reached out to the client after she completed the recent survey. She did not return my call. I can try again.  Based on all that I#ve heard and reviewed.  Please see r:drive for full email as well as attached to Salesforce.    4/20/17 uvsb177  Sent email to Kristian Hugo and Sandra Sanders to assist.    4/21/17 uvsb177 sent follow up email to processing    4/24/17 uvsb177 per the email response this morning, they are working on sending me a response.    4/25/17 uvsb177 file to compliance CFPB    Complaint:  Applying for a mortgage at SunTrust bank, I met with Jim Little my loan officer. The plan was to convert my home equity line into a mortgage 7/1 with a fixed rate. The application process started 12/2016, was able to lock in a rate 1/ 2017, for 3.7% with $10,000 cash out.  Projected closing date 2/2017.  Met with Jim Little, on several occasions going over paper work, noticing my cash out each time was less, mentioning every time why?? Answered by the time you close you would of paid down your loan so everything will work out. Having put my faith in Jim Little, never questioned more. Dates where made for closing, but canceled twice and rescheduled. But the day of closing, my cash out was $4000 less, than expected.  He said those were back taxes, since we didn't close the loan within a certain time. Which he postponed the closing twice, and mentioned he had to pay for the lock-in rate, which really shouldn't have been told to a customer. After the closing, my equity line payment for March was taken out of my account. I thought the loan was already paid off. Since I add a closing, so what happened there? So when I called Jim Little, to inquire why money was taken out of my account without my authorization, he said it must of crossed over, I questioned and said it should of been closed on the closing day.. So funds would not be taken out of my account without my authorization, since the loan was paid off.. Jim Little said it is my responsibility to notify the equity line to stop payment. But again I was not informed of this valid information, that would of prevented this to happen.. When trying to speak with Jim Little, to review why this all happened he just angry and hung up the phone, Just didn#t want to talk to customer after the fact.  Very PROFESSIONAL!!! I was told I would get my funds returned in 5 business days that was on 3/27/2017, and still waiting.. and also waiting for my HUD statement which was not given to me on my closing day.. After inquiring on the delay of my funds, the check was cut on 4/12/2017, for the amount of $748.00, less $100.00.. again mis-informed.... My overall experience for this Mortgage very dissatisfied, deceptive information. I would never recommend SunTrust, this company is not very LOYAL / TRUSTWORTHY to their customers.    Finding:  After reaching out to SunTrust teammates, here are the responses.  Jeff Harris, sales manager, the client neglected to stop the auto draft prior to closing. For some reason, she thought it was Jim#s responsibility to stop the payment. She began aggressively calling him and making demands. She even used the Facebook FaceTime app at 7 AM to try to reach him. He called her back during business hours that morning. He then contacted the servicing department twice on her behalf to inform them of the problem and work to resolve. He even filed an expedited refund request along with the Branch Manager to help return the funds sooner (they initially quoted 10 days and said the expedited request would reduce to 5 days). He spoke with her numerous times. He did say that he had to end one conversation abruptly when she would not stop yelling at him.  ( see full email in the r:drive) as well as attached to Salesforce    From the bank side:    The below email stated a payment amount of $950.00 was drafted from clients account.  The actual amount drafted was 854.41 on 3/25/2017.  It is the clients responsibility to cancel the auto debit as we do not have the capability or authority to do so. The title co asked for a payoff quote on 3/16/17 and on the check stub is shows good through 3/24/17.  They did not mail it out until 3/27/17 Fedex and it was received on 3/28/17 which is the date the payoff was applied. The overpayment check the client received in the amount of $748.95 was due to the difference in days of interest.  I hope I have explained it for the clients understanding along with the writing on the attached documents.  If you need anything else please let me know.  (see full email in the r:drive with attachment) as well as attached to Salesforce        Timeline:  12/02/2016	loan created; projected closing date 3/6/2017  12/27/2016 	application   1/03/2017	loan officer did closing calculation from ¼ - 2/28  1/10/2017 	file to processing; closing calculation from 1/10 # 3/6  1/12/2017	loan approved with conditions  1/13/2017	welcome call  2/03/2017	customer contact left message  2/24/2017	call to borrower status update  3/03/2017	email to client requesting additional documents; closing moved to 3/13/2017 waiting on borrower to provide requested documents - final approved  3/20/2017 loan closed57
04/12/2017-3436263Other || Mrs Orloff was upset that she was denied when attempting to refinance. She thinks her rate is too high and wants to lower it. During the refinance process she was not happy with the appraiser due to their unprofessional attitude. She believes her house should appraise for much higher than what the appraisal came back as. She mentioned the appraiser did not do a thorough job during the appraisal. This is what caused the loan to be denied.    Unresolved - Complaint Escalation Needed || I spoke with Mrs Orloff about the loan process and explained that the appraisal was causing the loan to be denied. She was hoping she could speak with someone "higher up" to see about getting her rate changed and out of her current loan.\NLoan Officer: Robert Pyner  Processor: Martha Baker  Underwriter: Letisha White    Application date: 9/22/2016  Denied: 2/21/2017      4/13/2017 UVAR94 - 24 HR call made, advised of escalation process and gave all contact information, client very thankful for call and advised that her concern is her appraisal came back low and she was told she did not qualify, client states that her credit is excellent and she has an extremely high interest rate, she is not asking for cash out just to refinance and she feels like the appraiser was very unprofessional and did not do the job correctly, she would like the appraisal re-evaluated    4/17/2017 UVAR94 - reviewed Empower, client disputed appraisal 1/24/2017, sent in additional comps and they were reviewed on 2/3/2017 by Cary Hobgood and it was determined that the appraised value remained unchanged    spoke with Cary Hobgood, she sent over all previous disputed information as well as response from appraiser after review    spoke with client, advised her that we have already reviewed the appraisal dispute that she sent in January and the value did not change, asked the client if she had additional comps to give and she did not, advised client that I was still reviewing case but I do not see that there is anything additional that can be done at this point, client requested a copy of her note emailed to maorloff@ymail.com, emailed copy of note    4/20/2017 UVAR94 - called client - left message57
